,Cost ($),Emission (kg CO2)
6,387219.34144215705,4337661.886163678
7,385301.1380108252,4380362.140068678
8,383382.9345794934,4423062.393973677
9,381453.4661166037,4466005.193975126
10,,
0,393592.001762481,4083445.3493308686
1,391942.67122488335,4119750.579466775
2,390128.8387255292,4159629.5348467752
3,388315.006226175,4199508.4902267745
4,386501.1737268208,4239387.445606775
5,384687.3412274667,4279266.400986775
6,382873.50872811256,4319145.356366776
7,381059.6762287584,4359024.311746774
8,379245.8437294042,4398903.2671267735
9,377425.153769367,4438922.172304815
10,,
0,413944.75828630314,4293041.761902633
1,412249.1187161922,4330159.531409422
2,410378.73157762445,4371080.310304422
3,408508.3444390567,4412001.089199423
4,406637.95730048895,4452921.868094423
5,404767.57016192126,4493842.646989421
6,402897.18302335346,4534763.425884421
7,401026.7958847858,4575684.204779421
8,399156.408746218,4616604.983674422
9,397270.5879101143,4657858.578210438
10,,
0,433846.8318206299,4492763.444110131
1,432233.9293605863,4527754.070653994
2,430463.9106547649,4566150.954118995
3,428693.89194894343,4604547.8375839945
4,426923.87324312184,4642944.721048995
5,425153.85453730036,4681341.604513995
6,423383.83583147876,4719738.487978996
7,421613.8171256573,4758135.371443995
8,419843.7984198357,4796532.254908995
9,418056.59383433097,4835325.354872475
10,,
0,411526.0811235853,4227852.422319713
1,409819.6096776439,4266073.912093585
2,407956.3306178149,4307745.295603587
3,406093.05155798583,4349416.679113586
4,404229.77249815676,4391088.062623586
5,402366.4934383276,4432759.4461335875
6,400503.2143784986,4474430.829643587
7,398639.93531866954,4516102.213153586
8,396776.6562588404,4557773.596663587
9,394902.6591538743,4599698.915910629
10,,
0,402217.9832416916,4170897.0006141793
1,400544.04687568895,4207850.902553637
2,398692.9680402696,4248545.172668638
3,396841.8892048501,4289239.442783638
4,394990.8103694306,4329933.712898637
5,393139.7315340111,4370627.983013637
6,391288.65269859164,4411322.253128637
7,389437.5738631722,4452016.523243637
8,387586.49502775265,4492710.793358637
9,385721.489675824,4533669.961359092
10,,
0,409914.8307486093,4234100.800122568
1,408214.0058781184,4272049.185321277
2,406364.66515858803,4313289.4381312765
3,404515.32443905785,4354529.690941278
4,402665.98371952743,4395769.9437512765
5,400816.6429999972,4437010.196561277
6,398967.3022804669,4478250.449371278
7,397117.9615609367,4519490.702181277
8,395268.62084140646,4560730.954991275
9,393406.3435008,4602268.329432383
10,,
0,404151.6459930707,4158081.7946042717
1,402364.9382347935,4198461.922308275
2,400410.3190565478,4242508.435643275
3,398455.69987830234,4286554.948978274
4,396501.080700057,4330601.462313274
5,394546.46152181126,4374647.975648275
6,392591.84234356583,4418694.488983275
7,390637.2231653203,4462741.002318275
8,388682.6039870747,4506787.515653274
9,386718.52689704276,4551042.992802682
10,,
0,431886.70180120866,4390586.233458407
1,430200.8237560254,4427450.551441224
2,428345.38843131566,4468026.220281223
3,426489.9531066057,4508601.889121223
4,424634.51778189564,4549177.557961225
5,422779.0824571858,4589753.226801224
6,420923.6471324759,4630328.895641225
7,419068.2118077658,4670904.564481224
8,417212.77648305596,4711480.233321224
9,415343.5612021234,4752389.387557009
10,,
0,440319.05642713665,4599100.958440377
1,438564.94132010406,4636603.142886367
2,436641.613564604,4677710.568181367
3,434718.2858091041,4718817.993476367
4,432794.95805360406,4759925.418771366
5,430871.630298104,4801032.8440663675
6,428948.302542604,4842140.2693613665
7,427024.974787104,4883247.6946563665
8,425101.64703160396,4924355.119951366
9,423161.2689517775,4965786.116922559
10,,
0,430357.74888289964,4502253.603006377
1,428720.1116698609,4538358.268846852
2,426892.1071081133,4578474.764766851
3,425064.10254636593,4618591.260686851
4,423236.0979846183,4658707.756606852
5,421408.0934228706,4698824.25252685
6,419580.0888611232,4738940.748446852
7,417752.08429937554,4779057.244366853
8,415924.07973762805,4819173.740286851
9,414084.5058539138,4859561.161472167
10,,
0,420650.4486855435,4384240.101594054
1,418879.7582581018,4423068.990403389
2,416939.1345020578,4465463.555713389
3,414998.5107460136,4507858.121023389
4,413057.88698996964,4550252.686333388
5,411117.2632339256,4592647.2516433885
6,409176.6394778817,4635041.816953389
7,407236.0157218377,4677436.3822633885
8,405295.3919657936,4719830.947573389
9,403337.31795453886,4762562.177578224
10,,
0,404119.01408823853,4168175.4244829495
1,402323.94526296377,4207509.835071886
2,400347.62755827105,4250615.131666887
3,398371.3098535784,4293720.428261887
4,396394.9921488857,4336825.724856887
5,394418.67444419285,4379931.021451887
6,392442.35673950013,4423036.3180468865
7,390466.03903480736,4466141.614641886
8,388489.7213301146,4509246.911236887
9,386499.87080381595,4552675.7198136775
10,,
0,406015.1985147561,4305012.972692329
1,404466.00149297965,4338219.847007658
2,402732.9873592953,4375213.38942266
3,400999.97322561115,4412206.931837659
4,399266.9590919268,4449200.474252659
5,397533.94495824253,4486194.016667658
6,395800.93082455825,4523187.559082659
7,394067.916690874,4560181.10149766
8,392334.9025571896,4597174.643912658
9,390583.7667445656,4634509.937618383
10,,
0,407045.1129092621,4207095.786413681
1,405311.08282987063,4245881.151567997
2,403391.7763649593,4288648.531892996
3,401472.46990004816,4331415.912217996
4,399553.1634351368,4374183.292542996
5,397633.8569702256,4416950.672867997
6,395714.55050531414,4459718.0531929955
7,393795.24404040293,4502485.433517997
8,391875.93757549167,4545252.813842997
9,389947.79765014944,4588207.069173001
10,,
0,399193.69961188687,4113763.3617153205
1,397519.49742230866,4150067.832613535
2,395654.70711203374,4190432.785128534
3,393789.91680175887,4230797.737643534
4,391925.1264914839,4271162.690158536
5,390060.33618120896,4311527.642673534
6,388195.5458709339,4351892.595188534
7,386330.755560659,4392257.547703534
8,384465.96525038406,4432622.500218534
9,382593.91222062986,4473124.886884664
10,,
0,428942.88414396363,4368781.076054368
1,427264.244510132,4406715.129612543
2,425429.731087078,4448054.022942543
3,423595.21766402386,4489392.916272542
4,421760.70424096985,4530731.809602542
5,419926.1908179159,4572070.702932542
6,418091.6773948619,4613409.5962625425
7,416257.1639718078,4654748.489592543
8,414422.65054875385,4696087.382922543
